Data,Dia da Semana,Materia,Sala,Plano de Aula
10/10/2022,Segunda,Sistemas Lineares,V106,Planejamento/Capacitação
10/10/2022,Segunda,Gestão De projeto,V106,Planejamento/Capacitação
10/10/2022,Segunda,Fundamentos Da Teoria,M011,Planejamento/Capacitação
11/10/2022,Terça,Eletronica A,I010,Planejamento/Capacitação
12/10/2022,Quarta,Variaveis Complexas,M005,Padroeira do Brasil
12/10/2022,Quarta,Fundamentos Da Teoria,M011,Padroeira do Brasil
12/10/2022,Quarta,Banco de Dados,V104,Padroeira do Brasil
13/10/2022,Quinta,Sistemas Lineares,V106,Planejamento/Capacitação
13/10/2022,Quinta,Eletronica A,L106,Planejamento/Capacitação
14/10/2022,Sexta,Banco de Dados,V104,Planejamento/Capacitação
17/10/2022,Segunda,Variaveis Complexas,M005,Estudo de convergência de séries.
17/10/2022,Segunda,Sistemas Lineares,V106,Resolução de exercícios.
17/10/2022,Segunda,Gestão De projeto,V106,Exploração de recursos gráficos de gerenciamento de projetos. Atividades de planejamento do projeto.
17/10/2022,Segunda,Fundamentos Da Teoria,M011,Formas Normais. Forma Normal de Chomsky.
18/10/2022,Terça,Eletronica A,I010,Transistor bipolar de junção: configurações.
19/10/2022,Quarta,Variaveis Complexas,M005,Testes da raíz e da razão.
19/10/2022,Quarta,Fundamentos Da Teoria,M011,Formas Normais. Forma Normal de Greibach.
19/10/2022,Quarta,Banco de Dados,V104,"Prática: engenharia reversa de consultas em Álgebra Relacional. Construção das definições a partir de consultas em linguagem algébrica. Análise, implementação e transposição para linguagem declarativa."
20/10/2022,Quinta,Sistemas Lineares,V106,Aula prática 02: Série de Fourier de tempo contínuo.
20/10/2022,Quinta,Eletronica A,L106,Atividade de recuperação do aproveitamento acadêmico segundo §4.º do Art. 35 do Regulamento da Organização Didático-Pedagógica dos Cursos de Graduação da UTFPR.
21/10/2022,Sexta,Banco de Dados,V104,"Oficina de integração com Banco de Dados - Parte 1: Instalação, configuração e teste de um sistema de banco de dados integrado a um Sistema de Controle Supervisório e de Aquisição de Dados (SCADA). Análise das estruturas do banco. Análise da estrutura operacional do supervisório e sua integração com o banco de dados."
24/10/2022,Segunda,Variaveis Complexas,M005,Convergências simples e pontual.
24/10/2022,Segunda,Sistemas Lineares,V106,Transformada de Fourier de tempo contínuo.
24/10/2022,Segunda,Gestão De projeto,V106,Gerenciamento de configurações.* Atividades de planejamento do projeto pela equipe.
24/10/2022,Segunda,Fundamentos Da Teoria,M011,Autômato com Pilha.
25/10/2022,Terça,Eletronica A,I010,Transistor bipolar de junção. Polarização CC. Exercícios.
26/10/2022,Quarta,Variaveis Complexas,M005,Convergência uniforme.
26/10/2022,Quarta,Fundamentos Da Teoria,M011,Aula Prática em Laboratório: Simulador de Autômatos com Pilha.
26/10/2022,Quarta,Banco de Dados,V104,Prova 2.
27/10/2022,Quinta,Sistemas Lineares,V106,Resolução de exercícios de Fourier.
27/10/2022,Quinta,Eletronica A,L106,Transistor bipolar de junção: polarização CC. Operação como chave e como fonte de corrente. Exercícios.
28/10/2022,Sexta,Banco de Dados,V104,Introdução à linguagem SQL.
31/10/2022,Segunda,Variaveis Complexas,M005,Revisão do conteúdo.
31/10/2022,Segunda,Sistemas Lineares,V106,Previsão da 2ª AVALIAÇÃO: Segunda avaliação de SL24CP - Análise de Fourier.
31/10/2022,Segunda,Gestão De projeto,V106,Outros aspectos a serem gerenciados na gestão de projetos. Atividades de desenvolvimento do projeto pela equipe.
31/10/2022,Segunda,Fundamentos Da Teoria,M011,Máquina de Turing.
01/11/2022,Terça,Eletronica A,I010,Atividade prática: Laboratório.
02/11/2022,Quarta,Variaveis Complexas,M005,Finados
02/11/2022,Quarta,Fundamentos Da Teoria,M011,Finados
02/11/2022,Quarta,Banco de Dados,V104,Finados
03/11/2022,Quinta,Sistemas Lineares,V106,Introdução a Transformada de Laplace. Aplicações da transformada de Laplace.
03/11/2022,Quinta,Eletronica A,L106,Transistor bipolar de junção: regulador de tensão.
04/11/2022,Sexta,Banco de Dados,V104,Domínios de atributos em SQL. Principais domínios e diferenças de estruturas de dados e tecnologias. Domínios armazenados. Lista de exercícios.
07/11/2022,Segunda,Variaveis Complexas,M005,Avaliação 2
07/11/2022,Segunda,Variaveis Complexas,M005,Avaliação 2.
07/11/2022,Segunda,Sistemas Lineares,V106,A Transformada de Laplace. Condições de existência. Cálculo da transformada de Laplace.
07/11/2022,Segunda,Gestão De projeto,V106,Atividades de desenvolvimento do projeto pela equipe.
07/11/2022,Segunda,Fundamentos Da Teoria,M011,Aula prática em laboratório - Simulador de Máquina de Turing.
08/11/2022,Terça,Eletronica A,I010,Atividade prática: Laboratório.
09/11/2022,Quarta,Variaveis Complexas,M005,Séries de Potências.
09/11/2022,Quarta,Fundamentos Da Teoria,M011,O número de pilhas de autômatos e o seu poder computacional. Hipótese de Church. Variações de modelos de máquina de turing. Linguagens Enumeráveis Recursivamente. Gramática Irrestrita.
09/11/2022,Quarta,Banco de Dados,V104,Classe de comandos DDL. Criação de estruturas para o armazenamento de dados. Definição de identificadores e relacionamentos em SQL. Principais regras de integridade implementadas via SGBD. Tratamento de exceções via banco de dados.
10/11/2022,Quinta,Sistemas Lineares,V106,"Transformada inversa, frações parciais. Aplicações da Transformada de Laplace"
10/11/2022,Quinta,Eletronica A,L106,"Transistor de efeito de campo: estrutura e características. JFET, MOSFET tipo depleção."
11/11/2022,Sexta,Banco de Dados,V104,"Introdução à gerência de transações e às propriedades ACID no contexto da classe de operações DML. Commit, Rollback e modelo de transação em SQL. Introdução à consultas de dados."
14/11/2022,Segunda,Variaveis Complexas,M005,Recesso
14/11/2022,Segunda,Sistemas Lineares,V106,Recesso
14/11/2022,Segunda,Gestão De projeto,V106,Recesso
14/11/2022,Segunda,Fundamentos Da Teoria,M011,Recesso
15/11/2022,Terça,Eletronica A,I010,Proclamação da República
16/11/2022,Quarta,Variaveis Complexas,M005,Séries de Taylor e Maclaurin.
16/11/2022,Quarta,Fundamentos Da Teoria,M011,Linguagem Recursiva. Linguagem Sensível ao Contexto. Gramática Sensível ao Contexto.
16/11/2022,Quarta,Banco de Dados,V104,Implementação de consultas básicas em SQL. Lista de exercícios.
17/11/2022,Quinta,Sistemas Lineares,V106,Resolução de exercícios de Laplace.
17/11/2022,Quinta,Eletronica A,L106,MOSFET tipo intensificação. Polarização do FET.
18/11/2022,Sexta,Banco de Dados,V104,"Classe de comandos DML. Operações de inserção, atualização, remoção e seleção de dados implementadas em SQL. Comandos LIKE, UPPER e BETWEEN. Criação de auto- incrementadores e regras de disparo."
21/11/2022,Segunda,Variaveis Complexas,M005,Séries de Laurent.
21/11/2022,Segunda,Sistemas Lineares,V106,Circuitos transformados.
21/11/2022,Segunda,Gestão De projeto,V106,Atividades de desenvolvimento do projeto pela equipe.
21/11/2022,Segunda,Fundamentos Da Teoria,M011,Máquina de Turing com Fita Limitada. Hierarquia de Chomsky.
22/11/2022,Terça,Eletronica A,I010,Atividade prática: exercícios.
23/11/2022,Quarta,Variaveis Complexas,M005,Zeros de Funções Analíticas.*
23/11/2022,Quarta,Fundamentos Da Teoria,M011,Revisão prova P2.
23/11/2022,Quarta,Banco de Dados,V104,"Manipulação e tratamento de dados em consultas SQL: Funções, ordenamentos, cláusulas e aninhamentos. Implementação de conversores de formato para a apresentação de dados. Comandos EXTRACT() e CAST(). Tratamento de exceções."
24/11/2022,Quinta,Sistemas Lineares,V106,Resolução de exercícios da transformada de Laplace. Circuito transformado.
24/11/2022,Quinta,Eletronica A,L106,Polarização do FET.
25/11/2022,Sexta,Banco de Dados,V104,"Agrupamento de consultas. Cláusula HAVING. Truncamento de funções em agrupamentos. Apresentação e integração de dados agrupados e não-agrupados. Junções em SQL. Variantes de junções. Implementação, testes e debug. Análise de resultados de consultas usando junções. Experimentos sobre bases reais de dados."
28/11/2022,Segunda,Variaveis Complexas,M005,"Singularidades Isoladas, do tipo polo."
28/11/2022,Segunda,Sistemas Lineares,V106,Propriedades da transformada de Laplace. Teorema do valor inical e final. Resolução de problema de valor inicial pelo método de Laplace.
28/11/2022,Segunda,Gestão De projeto,V106,Entrega de atividades parciais
28/11/2022,Segunda,Gestão De projeto,V106,Atividades de desenvolvimento do projeto pela equipe.
28/11/2022,Segunda,Fundamentos Da Teoria,M011,Prova 2.
29/11/2022,Terça,Eletronica A,I010,Atividade prática: exercícios.
30/11/2022,Quarta,Variaveis Complexas,M005,Teorema dos Resíduos.
30/11/2022,Quarta,Fundamentos Da Teoria,M011,"Classes de Solucionabilidade de Problemas: 1) Problema Solucionionável, 2) Parcialmente Solucionável, 3) Não Solucionável, 4) Completamente Insolúvel ou Não Computável. Tipos de Problema: 1) Problema de Decisão, 2) Problema de Localização e 3) Problema de Otimização."
30/11/2022,Quarta,Banco de Dados,V104,"Operações sobre múltiplas relações. Restrições de Integridade. Integridade referencial e outros aspectos de integridade. Relacionamentos e chaves. Implementação. Experimentos. Debug. * Consultas avançadas em SQL. Operadores UNION, UNION ALL, NOT EXISTS e NOT IN. Agrupamentos e cláusulas sobre agrupamentos. Aninhamentos de consultas."
01/12/2022,Quinta,Sistemas Lineares,V106,Aula prática TL.
01/12/2022,Quinta,Eletronica A,L106,Polarização do FET* MOSFET como chave.
02/12/2022,Sexta,Banco de Dados,V104,"Revisão para a Prova 3. Discussão sobre a programação avançada de banco de dados. Noções de views, triggers, stored procedures e functions."
05/12/2022,Segunda,Variaveis Complexas,M005,Integrais Impróprias.
05/12/2022,Segunda,Sistemas Lineares,V106,Resolução de exercícios Transformada de Laplace.
05/12/2022,Segunda,Gestão De projeto,V106,Encerramento do projeto e análise dos resultados.
05/12/2022,Segunda,Fundamentos Da Teoria,M011,"Complexidade de Algoritmos: medidas no pior caso, melhor caso e caso médio. Ordens assintóticas. Relação entre ordens assintóticas. As notações assintóticas: Big Oh, big Omega e big Theta."
06/12/2022,Terça,Eletronica A,I010,Atividades práticas
06/12/2022,Terça,Eletronica A,I010,Exercícios
06/12/2022,Terça,Eletronica A,I010,"Atividade prática: exercícios, análise e projeto de circuitos eletrônicos."
07/12/2022,Quarta,Variaveis Complexas,M005,Aplicações
07/12/2022,Quarta,Fundamentos Da Teoria,M011,As Classes de Problema P e NP.
07/12/2022,Quarta,Banco de Dados,V104,Provas
07/12/2022,Quarta,Banco de Dados,V104,Prova 3.
08/12/2022,Quinta,Sistemas Lineares,V106,Resolução de exercícios Transformada de Laplace.
08/12/2022,Quinta,Eletronica A,L106,Prova 2
08/12/2022,Quinta,Eletronica A,L106,Avaliação: prova.
09/12/2022,Sexta,Banco de Dados,V104,Oficina de integração com Banco de Dados: conectividade de banco de dados com linguagens de programação. Drivers. Estudos de caso. Interfaceamento.
12/12/2022,Segunda,Variaveis Complexas,M005,Avaliação 3
12/12/2022,Segunda,Variaveis Complexas,M005,Avaliação 3.
12/12/2022,Segunda,Sistemas Lineares,V106,Previsão da 3ª AVALIAÇÃO: Laplace.
12/12/2022,Segunda,Gestão De projeto,V106,planejamento e execução de projeto (prática)
12/12/2022,Segunda,Gestão De projeto,V106,Defesa dos resultados e lições aprendidas
12/12/2022,Segunda,Gestão De projeto,V106,Aula para realização do seminário.
